Confirmed_Cases,Deaths,Recovered,Locations,Lat,Long
130,4,41,Guam,13.450125700000001,144.75755102972062
128,0,0,Greg Mortimer,-34.904592,-56.214962
127,0,69,Gibraltar,36.10674695,-5.335277183483561
120,0,75,Cambodia,13.5066394,104.869423
118,6,19,El Salvador,13.8000382,-88.9140683
118,0,7,Rwanda,-1.9646631,30.0644358
109,8,3,Trinidad and Tobago,10.8677845,-60.9821067
99,3,44,Northern Cyprus,35.4594217,33.67831232848027
93,0,11,Madagascar,-18.9249604,46.4416422
90,1,5,Monaco,43.7323492,7.4276832
87,7,22,Mali,16.3700359,-2.2900239
86,0,27,Aruba,12.5013629,-69.9618475
86,1,49,French Guiana,4.0039882,-52.999998
79,1,55,Liechtenstein,47.1416307,9.5531527
76,3,25,Togo,8.7800265,1.0199765
67,4,11,Barbados,13.1500331,-59.5250305
65,3,4,Ethiopia,10.2116702,38.6521203
65,4,13,Jamaica,18.1152958,-77.1598454610168
60,5,0,Republic of the Congo,-0.7264327,15.6419155
53,0,0,Uganda,1.5333554,32.2166578
51,0,0,French Polynesia,-16.03442485,-146.0490931059517
50,0,0,Charles de Gaulle,48.105506399999996,-1.6769215733761784
50,8,3,Sint Maarten,18.0250713,-63.0483073
50,1,43,U.S. Virgin Islands,17.789187,-64.7080574
48,4,25,Bermuda,32.3018217,-64.7603583
46,1,1,Gabon,-0.8999695,11.6899699
45,1,6,Cayman Islands,19.5417212,-80.5667132
45,0,10,Macau,22.1757605,113.5514142
42,8,5,Bahamas,24.7736546,-78.0000547
40,2,25,Zambia,-14.5186239,27.5599164
38,0,0,Guinea-Bissau,12.100035,-14.9000214
37,6,8,Guyana,4.8417097,-58.6416891
37,5,3,Liberia,5.7499721,-9.3658524
35,1,5,Benin,9.5293472,2.2584408
34,0,0,Eritrea,15.9500319,37.9999668
32,2,11,Saint Martin,18.0668544,18.0668544
32,3,5,Tanzania,-6.5247123,35.7878438
31,2,0,Haiti,19.1399952,-72.3570972
28,3,2,Myanmar,17.1750495,95.9999652
24,1,8,Libya,26.8234472,18.1236723
21,2,0,Antigua and Barbuda,17.2234721,-61.9554608
21,1,1,Somalia,8.3676771,49.083416
20,0,2,Mozambique,-19.302233,34.9144977
19,2,2,Angola,-11.8775768,17.5691241
19,0,13,Maldives,4.7064352,73.3287853
19,2,4,Syria,34.6401861,39.0494106
18,0,0,Donetsk People's Republic,48.002778,37.805278
18,0,3,Equatorial Guinea,1.613172,10.5170357
18,0,0,Laos,20.0171109,103.378253
18,0,1,New Caledonia,-20.454288599999998,164.55660583077983
17,2,2,Sudan,14.5844444,29.4917691
16,0,5,Dominica,15.301389,-61.388333
16,0,0,Fiji,-18.1239696,179.0122737
16,0,11,Mongolia,46.8250388,103.8499736
16,0,2,Namibia,-23.2335499,17.3231107
15,0,0,Saint Lucia,13.8250489,-60.975036
14,1,7,Curaçao,12.1845,-68.9640875031406
14,0,0,Grenada,12.1360374,-61.6904045
13,1,0,Botswana,-23.1681782,24.5928742
13,3,0,Zimbabwe,-18.4554963,29.7468414
12,0,0,Coral Princess,25.774167,-80.171111
12,0,7,Eswatini,-26.5624806,31.3991317
12,0,0,Saint Kitts and Nevis,17.250512,-62.6725973
12,0,1,St. Vincent & the Grenadines,12.90447,-61.2765569
11,0,9,Chad,15.6134137,19.0156172
11,2,0,MS Zaandam & Rotterdam,25.96947,-79.83765
11,0,0,Seychelles,-4.6574977,55.4540146
11,0,11,Greenland,77.6192349,-42.8125967
11,2,0,Northern Mariana Islands,14.149020499999999,145.21345248318923
10,2,8,Belize,16.8259793,-88.7600927
10,0,0,Akrotiri and Dhekelia,34.6704337,34.6704337
10,1,4,Suriname,4.1413025,-56.0771187
9,0,0,Åland Islands,60.2166218,19.9438638
9,1,0,Malawi,-13.2687204,33.9301963
9,0,0,Montserrat,16.7417041,-62.1916844
9,0,1,Nepal,28.1083929,84.0917139
8,0,0,Central African Republic,7.0323598,19.9981227
8,0,1,Luhansk People's Republic,48.566667,39.333333
8,0,0,Sierra Leone,8.6400349,-11.8400269
8,1,0,Turks and Caicos Islands,21.7214683,-71.6201783
8,0,2,Vatican City,41.90381485,12.453152716779822
7,1,0,Cape Verde,16.0000552,-24.0083947
7,1,2,Mauritania,20.2540382,-9.2399263
7,1,2,Nicaragua,12.6090157,-85.2936911
6,0,1,Saint Barthélemy,17.9036287,-62.811568843006896
5,0,2,Bhutan,27.549511,90.5119273
5,0,0,Falkland Islands,-51.9666424,-59.5500387
5,0,0,Artsakh,39.815278,46.751944
4,1,2,Gambia,13.470062,-15.4900464
4,0,0,São Tomé and Príncipe,0.8875498,6.9648718
4,0,0,South Sudan,7.8699431,29.6667897
3,0,0,Anguilla,18.1954947,-63.0750234
3,0,0,British Virgin Islands,18.4024395,-64.5661642
3,0,0,Burundi,-3.3634357,29.8870575
2,0,0,East Timor,-8.5151979,125.8375756
2,0,0,Papua New Guinea,-5.6816069,144.2489081
2,0,0,Sint Eustatius,17.4865252,-62.9653116
2,0,0,Somaliland,9.862669,46.13611208905033
1,0,0,Abkhazia,43.1500226,41.2299786
1,0,0,Guantanamo Bay,19.9242388,-75.15931492170088
1,0,0,Saint Pierre and Miquelon,46.783246899999995,-56.195158907484085
1,0,0,Yemen,16.3471243,47.8915271
